technical_interests,interests,non_technical_interests,achievements,career
IoT,history,chemistry,leadership roles,11
chemistry,environmental sustainability,entrepreneurship,recognition,11
chemistry,finance,music,certifications,20
robotics,health,art,debate competition wins,34
physics,politics,writing,fundraising efforts,11
problem solving,philosophy,leadership,recognition,29
natural language processing,media and communications,entrepreneurship,debate competition wins,36
AR/VR,business,creativity,community service awards,35
robotics,science,photography,leadership roles,16
mobile app development,space,nature,scholarships,6
physics,culture,education,travel experiences,33
algorithm design,media and communications,fashion,scholarships,39
data analysis,art,geography,musical achievements,33
big data,science,traveling,science fair awards,34
machine learning,social media,cooking,cultural exchange programs,14
electronics,gaming,geography,recognition,24
web development,culture,law,writing competition wins,35
computational biology,community service,fitness,robotics competition wins,26
database management,finance,leadership,philanthropic work,3
physics,space,traveling,internship experiences,35
problem solving,design,creativity,community service awards,7
artificial intelligence,nature,management,performances,23
mechanics,fitness,medicine,volunteer work,12
3D printing,business,space,community service awards,6
computational biology,cooking,fashion,travel experiences,23
game development,psychology,health,community service awards,26
AR/VR,literature,space,community service awards,24
statistics,animals,music,academic excellence,10
IoT,art,management,debate competition wins,18
software testing,finance,education,community service awards,28
geographic information systems,media and communications,history,business ventures,7
machine learning,animals,management,cultural exchange programs,24
problem solving,media and communications,gaming,public speaking awards,37
geographic information systems,education,entrepreneurship,recognition,21
chemistry,politics,mathematics,coding competition wins,22
geographic information systems,culture,animals,cultural exchange programs,24
natural language processing,human rights,mathematics,robotics competition wins,39
physics,nature,architecture,internship experiences,21
artificial intelligence,cooking,design,volunteer work,26
quantum computing,literature,animals,exhibitions,4
natural language processing,innovation,medicine,literary awards,18
big data,technology,music,performances,24
networking,gaming,economics,certifications,8
computer architecture,health,fitness,patents,20
physics,literature,literature,hackathon wins,39
blockchain,science,innovation,artistic accomplishments,31
problem solving,psychology,education,grants,26
logical thinking,leadership,innovation,performances,30
cloud computing,traveling,leadership,patents,27
bioinformatics,social media,geography,social initiatives,15
machine learning,philosophy,chemistry,environmental initiatives,6
problem solving,space,law,scientific research awards,15
ux/ui,fitness,sports,public speaking awards,3
coding,sports,mathematics,writing competition wins,12
operating systems,gaming,literature,business ventures,36
cloud computing,anatomy,creativity,community service awards,7
coding,health,sociology,environmental initiatives,31
IoT,education,sociology,debate competition wins,19
data visualization,culture,health,startups,33
IoT,social media,writing,performances,2
web development,writing,mathematics,social initiatives,31
physics,art,economics,scientific research awards,2
machine learning,sports,law,leadership roles,28
physics,video editing,art,exhibitions,13
big data,finance,literature,community service awards,14
biology,health,literature,business ventures,15
geographic information systems,volunteering,writing,patents,20
logical thinking,human rights,creativity,musical achievements,40
mobile app development,anatomy,physics,entrepreneurial ventures,24
big data,community service,cooking,philanthropic work,19
game development,community service,history,public speaking awards,33
web development,video editing,technology,fundraising efforts,22
3D printing,technology,gaming,exhibitions,19
mathematics,science,philosophy,leadership roles,19
data analysis,philosophy,law,sports achievements,21
cybersecurity,volunteering,innovation,robotics competition wins,22
computer architecture,volunteering,architecture,community building,10
AR/VR,fitness,photography,leadership roles,12
logical thinking,politics,fashion,grants,1
mathematics,sociology,education,debate competition wins,8
mechanics,psychology,business,musical achievements,40
data visualization,design,economics,community building,35
biology,leadership,philosophy,recognition,6
robotics,anatomy,business,special projects,3
electronics,science,philosophy,robotics competition wins,36
computational biology,cooking,sports,patents,10
geographic information systems,science,finance,fundraising efforts,7
quantum computing,community service,technology,awards,10
electronics,culture,fashion,sports achievements,28
blockchain,music,innovation,sports achievements,1
logical thinking,technology,sports,writing competition wins,29
problem solving,science,creativity,internship experiences,37
